"State","Additional deaths"
"Alabama",55
"Arizona",55
"Arkansas",30
"California",230
"Colorado",40
"Connecticut",15
"Delaware",5
"District of Columbia",5
"Florida",160
"Georgia",80
"Idaho",15
"Illinois",75
"Indiana",50
"Iowa",20
"Kansas",25
"Kentucky",40
"Louisiana",50
"Maine",10
"Maryland",35
"Massachusetts",20
"Michigan",60
"Minnesota",20
"Mississippi",35
"Missouri",55
"Montana",10
"Nebraska",10
"Nevada",25
"New Hampshire",5
"New Jersey",35
"New Mexico",20
"New York",65
"North Carolina",75
"North Dakota",5
"Ohio",70
"Oklahoma",35
"Oregon",25
"Pennsylvania",70
"Rhode Island",5
"South Carolina",50
"South Dakota",5
"Tennessee",55
"Texas",205
"Utah",20
"Vermont",5
"Virginia",45
"Washington",40
"West Virginia",15
"Wisconsin",30
"Wyoming",5
