"","sex","age","region"
"1",1,0,"Northwest"
"21",1,0,"West North Central"
"41",1,0,"Northeast"
"61",1,0,"East North Central"
"81",1,0,"Central"
"101",1,0,"West"
"121",1,0,"Southwest"
"141",1,0,"South"
"161",1,0,"Southeast"
"3",1,5,"Northwest"
"23",1,5,"West North Central"
"43",1,5,"Northeast"
"63",1,5,"East North Central"
"83",1,5,"Central"
"103",1,5,"West"
"123",1,5,"Southwest"
"143",1,5,"South"
"163",1,5,"Southeast"
"5",1,15,"Northwest"
"25",1,15,"West North Central"
"45",1,15,"Northeast"
"65",1,15,"East North Central"
"85",1,15,"Central"
"105",1,15,"West"
"125",1,15,"Southwest"
"145",1,15,"South"
"165",1,15,"Southeast"
"7",1,25,"Northwest"
"27",1,25,"West North Central"
"47",1,25,"Northeast"
"67",1,25,"East North Central"
"87",1,25,"Central"
"107",1,25,"West"
"127",1,25,"Southwest"
"147",1,25,"South"
"167",1,25,"Southeast"
"9",1,35,"Northwest"
"29",1,35,"West North Central"
"49",1,35,"Northeast"
"69",1,35,"East North Central"
"89",1,35,"Central"
"109",1,35,"West"
"129",1,35,"Southwest"
"149",1,35,"South"
"169",1,35,"Southeast"
"11",1,45,"Northwest"
"31",1,45,"West North Central"
"51",1,45,"Northeast"
"71",1,45,"East North Central"
"91",1,45,"Central"
"111",1,45,"West"
"131",1,45,"Southwest"
"151",1,45,"South"
"171",1,45,"Southeast"
"13",1,55,"Northwest"
"33",1,55,"West North Central"
"53",1,55,"Northeast"
"73",1,55,"East North Central"
"93",1,55,"Central"
"113",1,55,"West"
"133",1,55,"Southwest"
"153",1,55,"South"
"173",1,55,"Southeast"
"15",1,65,"Northwest"
"35",1,65,"West North Central"
"55",1,65,"Northeast"
"75",1,65,"East North Central"
"95",1,65,"Central"
"115",1,65,"West"
"135",1,65,"Southwest"
"155",1,65,"South"
"175",1,65,"Southeast"
"17",1,75,"Northwest"
"37",1,75,"West North Central"
"57",1,75,"Northeast"
"77",1,75,"East North Central"
"97",1,75,"Central"
"117",1,75,"West"
"137",1,75,"Southwest"
"157",1,75,"South"
"177",1,75,"Southeast"
"19",1,85,"Northwest"
"39",1,85,"West North Central"
"59",1,85,"Northeast"
"79",1,85,"East North Central"
"99",1,85,"Central"
"119",1,85,"West"
"139",1,85,"Southwest"
"159",1,85,"South"
"179",1,85,"Southeast"
"2",2,0,"Northwest"
"22",2,0,"West North Central"
"42",2,0,"Northeast"
"62",2,0,"East North Central"
"82",2,0,"Central"
"102",2,0,"West"
"122",2,0,"Southwest"
"142",2,0,"South"
"162",2,0,"Southeast"
"4",2,5,"Northwest"
"24",2,5,"West North Central"
"44",2,5,"Northeast"
"64",2,5,"East North Central"
"84",2,5,"Central"
"104",2,5,"West"
"124",2,5,"Southwest"
"144",2,5,"South"
"164",2,5,"Southeast"
"6",2,15,"Northwest"
"26",2,15,"West North Central"
"46",2,15,"Northeast"
"66",2,15,"East North Central"
"86",2,15,"Central"
"106",2,15,"West"
"126",2,15,"Southwest"
"146",2,15,"South"
"166",2,15,"Southeast"
"8",2,25,"Northwest"
"28",2,25,"West North Central"
"48",2,25,"Northeast"
"68",2,25,"East North Central"
"88",2,25,"Central"
"108",2,25,"West"
"128",2,25,"Southwest"
"148",2,25,"South"
"168",2,25,"Southeast"
"10",2,35,"Northwest"
"30",2,35,"West North Central"
"50",2,35,"Northeast"
"70",2,35,"East North Central"
"90",2,35,"Central"
"110",2,35,"West"
"130",2,35,"Southwest"
"150",2,35,"South"
"170",2,35,"Southeast"
"12",2,45,"Northwest"
"32",2,45,"West North Central"
"52",2,45,"Northeast"
"72",2,45,"East North Central"
"92",2,45,"Central"
"112",2,45,"West"
"132",2,45,"Southwest"
"152",2,45,"South"
"172",2,45,"Southeast"
"14",2,55,"Northwest"
"34",2,55,"West North Central"
"54",2,55,"Northeast"
"74",2,55,"East North Central"
"94",2,55,"Central"
"114",2,55,"West"
"134",2,55,"Southwest"
"154",2,55,"South"
"174",2,55,"Southeast"
"16",2,65,"Northwest"
"36",2,65,"West North Central"
"56",2,65,"Northeast"
"76",2,65,"East North Central"
"96",2,65,"Central"
"116",2,65,"West"
"136",2,65,"Southwest"
"156",2,65,"South"
"176",2,65,"Southeast"
"18",2,75,"Northwest"
"38",2,75,"West North Central"
"58",2,75,"Northeast"
"78",2,75,"East North Central"
"98",2,75,"Central"
"118",2,75,"West"
"138",2,75,"Southwest"
"158",2,75,"South"
"178",2,75,"Southeast"
"20",2,85,"Northwest"
"40",2,85,"West North Central"
"60",2,85,"Northeast"
"80",2,85,"East North Central"
"100",2,85,"Central"
"120",2,85,"West"
"140",2,85,"Southwest"
"160",2,85,"South"
"180",2,85,"Southeast"
