"","model.2.mean","age","sex","cause"
"1",-0.0514000014881738,0,1,"Transport accidents"
"2",-0.0496183996104257,0,1,"Transport accidents"
"3",-0.0549799732286477,0,1,"Transport accidents"
"4",-0.063440186589773,0,1,"Transport accidents"
"5",-0.0626230366956992,0,1,"Transport accidents"
"6",-0.0616369795886569,0,1,"Transport accidents"
"7",-0.0596325374079749,0,1,"Transport accidents"
"8",-0.0636759102819634,0,1,"Transport accidents"
"9",-0.0648110847808386,0,1,"Transport accidents"
"10",-0.0685270914864066,0,1,"Transport accidents"
"11",-0.0630623854738769,0,1,"Transport accidents"
"12",-0.0574052064628382,0,1,"Transport accidents"
"13",-0.0356676081700986,5,1,"Transport accidents"
"14",-0.0385660356135631,5,1,"Transport accidents"
"15",-0.0472990747276362,5,1,"Transport accidents"
"16",-0.0538341776048555,5,1,"Transport accidents"
"17",-0.0615596910130654,5,1,"Transport accidents"
"18",-0.0626081886091679,5,1,"Transport accidents"
"19",-0.0585691377594087,5,1,"Transport accidents"
"20",-0.0586262952887245,5,1,"Transport accidents"
"21",-0.0635207861509376,5,1,"Transport accidents"
"22",-0.0594929559057553,5,1,"Transport accidents"
"23",-0.0576836518155263,5,1,"Transport accidents"
"24",-0.0425844345019406,5,1,"Transport accidents"
"25",-0.0408542103044582,55,1,"Transport accidents"
"26",-0.0372351675833462,55,1,"Transport accidents"
"27",-0.0436198897198704,55,1,"Transport accidents"
"28",-0.0503028801507434,55,1,"Transport accidents"
"29",-0.0541601050793757,55,1,"Transport accidents"
"30",-0.055486580004716,55,1,"Transport accidents"
"31",-0.0554482762565154,55,1,"Transport accidents"
"32",-0.0545472948336995,55,1,"Transport accidents"
"33",-0.0582307112595029,55,1,"Transport accidents"
"34",-0.0557000423670399,55,1,"Transport accidents"
"35",-0.0497440375890071,55,1,"Transport accidents"
"36",-0.0452612481104499,55,1,"Transport accidents"
"37",-0.0575402898307799,0,2,"Transport accidents"
"38",-0.056441457374444,0,2,"Transport accidents"
"39",-0.0607341699750616,0,2,"Transport accidents"
"40",-0.0660037107667786,0,2,"Transport accidents"
"41",-0.0673545787778873,0,2,"Transport accidents"
"42",-0.0623322206549071,0,2,"Transport accidents"
"43",-0.0611661087310174,0,2,"Transport accidents"
"44",-0.0621663584377558,0,2,"Transport accidents"
"45",-0.0663389162982718,0,2,"Transport accidents"
"46",-0.066242236539244,0,2,"Transport accidents"
"47",-0.0655814184500743,0,2,"Transport accidents"
"48",-0.0598243883311763,0,2,"Transport accidents"
"49",-0.0540617711115824,5,2,"Transport accidents"
"50",-0.0555763728545536,5,2,"Transport accidents"
"51",-0.0607077067873387,5,2,"Transport accidents"
"52",-0.0687289252936144,5,2,"Transport accidents"
"53",-0.0675281805073819,5,2,"Transport accidents"
"54",-0.0638510277176428,5,2,"Transport accidents"
"55",-0.0615875000807004,5,2,"Transport accidents"
"56",-0.0633099589160266,5,2,"Transport accidents"
"57",-0.067396236883419,5,2,"Transport accidents"
"58",-0.0672231911312432,5,2,"Transport accidents"
"59",-0.0686186632515436,5,2,"Transport accidents"
"60",-0.0582448687552308,5,2,"Transport accidents"
"61",-0.0546432506087992,55,2,"Transport accidents"
"62",-0.0521681829279814,55,2,"Transport accidents"
"63",-0.0559969386625823,55,2,"Transport accidents"
"64",-0.063593153085616,55,2,"Transport accidents"
"65",-0.0645543557418423,55,2,"Transport accidents"
"66",-0.0599922419975516,55,2,"Transport accidents"
"67",-0.0602963130857668,55,2,"Transport accidents"
"68",-0.0615443406168553,55,2,"Transport accidents"
"69",-0.0638729717187877,55,2,"Transport accidents"
"70",-0.064271128200608,55,2,"Transport accidents"
"71",-0.0611260314358891,55,2,"Transport accidents"
"72",-0.0572184495529734,55,2,"Transport accidents"
