"","model.2.mean","model.2.ll","model.2.ul","age","sex","cause"
"1",0.020761326661081,0.00832462247326811,0.0343503010969523,0,1,"Road traffic accidents"
"2",0.0194134988699917,0.00676654556000496,0.0326172417782532,0,1,"Road traffic accidents"
"3",0.0158043509937453,0.00125771408618193,0.0289534084208626,0,1,"Road traffic accidents"
"4",0.0174306329962638,0.00307025502570065,0.0315237113323378,0,1,"Road traffic accidents"
"5",0.0175461700724608,0.00288050848123558,0.03200207009337,0,1,"Road traffic accidents"
"6",0.0176495949441986,0.00239430374300444,0.0327296545316619,0,1,"Road traffic accidents"
"7",0.0179918903225471,0.00246444460919813,0.033578068553096,0,1,"Road traffic accidents"
"8",0.0172803075723346,0.00126646733073872,0.0327709006388338,0,1,"Road traffic accidents"
"9",0.0172854203727593,0.00136994067229117,0.0326039014781237,0,1,"Road traffic accidents"
"10",0.0179296569633994,0.0029753405676684,0.0326583509856241,0,1,"Road traffic accidents"
"11",0.018740941916177,0.00516361529543635,0.0325195136091716,0,1,"Road traffic accidents"
"12",0.0184100263958923,0.00576825543080961,0.0309407459109943,0,1,"Road traffic accidents"
"13",0.00750003571171077,-0.000156183888679483,0.0148781806886664,45,1,"Road traffic accidents"
"14",0.00986794160367671,0.00213795614369652,0.0173543632028536,45,1,"Road traffic accidents"
"15",0.0133460877981569,0.00486697183076051,0.0215183165102761,45,1,"Road traffic accidents"
"16",0.0225454284000314,0.0129754279237739,0.0335157597259843,45,1,"Road traffic accidents"
"17",0.0239575495945633,0.0142767755234745,0.0346762557394288,45,1,"Road traffic accidents"
"18",0.0244729256190275,0.0141798766415538,0.0361165028494475,45,1,"Road traffic accidents"
"19",0.0194028040020385,0.00897228409214467,0.0299245068909489,45,1,"Road traffic accidents"
"20",0.0193602727237239,0.00893939698844421,0.0307575578081177,45,1,"Road traffic accidents"
"21",0.014046119651912,0.00351500212638181,0.0246179050847215,45,1,"Road traffic accidents"
"22",0.00964433206132253,-0.000298458090888064,0.0191610621078777,45,1,"Road traffic accidents"
"23",0.0065257092242929,-0.0022673024321158,0.014783676060562,45,1,"Road traffic accidents"
"24",0.00656068096952155,-0.00081170743817718,0.0136951005789288,45,1,"Road traffic accidents"
"25",0.0166132495981672,0.00939277741105941,0.0242263962071392,55,1,"Road traffic accidents"
"26",0.0145626680824557,0.00677393313120853,0.0218798897764171,55,1,"Road traffic accidents"
"27",0.0178028317666833,0.00980779875596497,0.0260300388538976,55,1,"Road traffic accidents"
"28",0.0202845375868864,0.0113359159658103,0.0302430316637016,55,1,"Road traffic accidents"
"29",0.0194441490555839,0.010164402197319,0.0291831354709211,55,1,"Road traffic accidents"
"30",0.019604394964153,0.00990333172137299,0.0299550165812764,55,1,"Road traffic accidents"
"31",0.0190571423306519,0.00921197700963447,0.0295313241323687,55,1,"Road traffic accidents"
"32",0.0169908580398939,0.00680621663631078,0.0271398691591173,55,1,"Road traffic accidents"
"33",0.0157773103116538,0.00562746552795395,0.0257013326841241,55,1,"Road traffic accidents"
"34",0.0150309285726209,0.0056556940431209,0.0241861851226184,55,1,"Road traffic accidents"
"35",0.014480709621531,0.00620599749610601,0.0225736577625578,55,1,"Road traffic accidents"
"36",0.0133982873191306,0.00592299234704304,0.0204648285601077,55,1,"Road traffic accidents"
"37",0.00706108076931791,-0.00136383476141285,0.0151195123802433,65,1,"Road traffic accidents"
"38",0.00813245051301207,-0.000399185085958764,0.0163866560158944,65,1,"Road traffic accidents"
"39",0.0121291735667964,0.0030863924238467,0.0222204569791335,65,1,"Road traffic accidents"
"40",0.0105784064189362,0.000355245563610648,0.0209333349625732,65,1,"Road traffic accidents"
"41",0.00944709639614835,-0.0016681160526872,0.0199151982575746,65,1,"Road traffic accidents"
"42",0.013383194983689,0.00240983538992956,0.0258056855108984,65,1,"Road traffic accidents"
"43",0.0145181208955933,0.00320612958834068,0.0280230315321449,65,1,"Road traffic accidents"
"44",0.0107006757406641,-0.000779350057279121,0.0225443837740879,65,1,"Road traffic accidents"
"45",0.00806584994446132,-0.00382643816740621,0.0192110858228803,65,1,"Road traffic accidents"
"46",0.00868832243199001,-0.00165186719527485,0.0192202575183259,65,1,"Road traffic accidents"
"47",0.00615877667227367,-0.00347375141661893,0.0150665465962652,65,1,"Road traffic accidents"
"48",0.00725980267252463,-0.000680448979715688,0.0150852802121874,65,1,"Road traffic accidents"
"49",0.00897946411716871,-0.00220791125638401,0.0209160509098854,85,1,"Road traffic accidents"
"50",0.00967480336916612,-0.0017571444828693,0.0219770786400004,85,1,"Road traffic accidents"
"51",0.0100412966848276,-0.00234115151190131,0.0237461135889342,85,1,"Road traffic accidents"
"52",0.00757976598032272,-0.00636681358400751,0.0218617282884175,85,1,"Road traffic accidents"
"53",0.00676849037893284,-0.00774912368776814,0.0217850205765737,85,1,"Road traffic accidents"
"54",0.00245613413439246,-0.0146383293026045,0.0174116919918138,85,1,"Road traffic accidents"
"55",-0.000284124384513085,-0.0191495258287509,0.015051865083858,85,1,"Road traffic accidents"
"56",0.000693819694527704,-0.0172728643650627,0.0159409436300613,85,1,"Road traffic accidents"
"57",0.000656296663484856,-0.017119445632193,0.015543653178397,85,1,"Road traffic accidents"
"58",0.00205494319834324,-0.0139479869942218,0.0158887062918735,85,1,"Road traffic accidents"
"59",0.00647918151893545,-0.0059855557944973,0.0193470012833574,85,1,"Road traffic accidents"
"60",0.00643235327704662,-0.00481863196785947,0.0175386400466295,85,1,"Road traffic accidents"
