"","fips","sex","age","pop","year","stateFips","countyFips"
"1","51515",2,80,142,2011,"51","515"
"2","51515",2,75,153,2011,"51","515"
"3","51515",2,70,148,2011,"51","515"
"4","51515",2,55,254,2011,"51","515"
"5","51515",2,50,210,2011,"51","515"
"6","51515",2,45,213,2011,"51","515"
"7","51515",2,40,204,2011,"51","515"
"8","51515",2,35,164,2011,"51","515"
"9","51515",2,25,160,2011,"51","515"
"10","51515",2,20,219,2011,"51","515"
"11","51515",2,15,182,2011,"51","515"
"12","51515",2,10,178,2011,"51","515"
"13","51515",2,5,165,2011,"51","515"
"14","51515",2,0,176,2011,"51","515"
"15","46113",2,80,58,2011,"46","113"
"16","46113",2,70,126,2011,"46","113"
"17","46113",2,65,204,2011,"46","113"
"18","46113",2,55,303,2011,"46","113"
"19","46113",2,50,380,2011,"46","113"
"20","46113",2,35,377,2011,"46","113"
"21","46113",2,30,421,2011,"46","113"
"22","46113",2,20,675,2011,"46","113"
"23","46113",2,15,693,2011,"46","113"
"24","46113",2,10,712,2011,"46","113"
"25","46113",2,5,789,2011,"46","113"
"26","02270",2,40,182,2011,"02","270"
"27","02270",1,40,198,2011,"02","270"
"28","46113",1,10,740,2011,"46","113"
"29","02270",2,35,174,2011,"02","270"
"30","51515",2,65,142,2011,"51","515"
"31","02270",2,50,178,2011,"02","270"
"32","02270",2,15,381,2011,"02","270"
"33","02270",1,50,222,2011,"02","270"
"34","02270",1,20,427,2011,"02","270"
"35","46113",2,85,45,2011,"46","113"
"36","02270",1,60,125,2011,"02","270"
"37","51515",2,30,179,2011,"51","515"
"38","02270",2,85,28,2011,"02","270"
"39","02270",2,75,43,2011,"02","270"
"40","02270",2,60,106,2011,"02","270"
"41","02270",2,25,267,2011,"02","270"
"42","02270",2,10,427,2011,"02","270"
"43","02270",2,0,432,2011,"02","270"
"44","46113",1,50,336,2011,"46","113"
"45","02270",2,70,58,2011,"02","270"
"46","51515",1,85,95,2011,"51","515"
"47","51515",1,80,91,2011,"51","515"
"48","51515",1,70,97,2011,"51","515"
"49","51515",1,60,165,2011,"51","515"
"50","51515",1,55,206,2011,"51","515"
"51","51515",1,50,231,2011,"51","515"
"52","51515",1,45,185,2011,"51","515"
"53","51515",1,40,156,2011,"51","515"
"54","51515",1,30,171,2011,"51","515"
"55","51515",1,10,170,2011,"51","515"
"56","51515",1,5,161,2011,"51","515"
"57","51515",1,0,174,2011,"51","515"
"58","51515",2,85,232,2011,"51","515"
"59","46113",1,45,395,2011,"46","113"
"60","02270",1,75,38,2011,"02","270"
"61","46113",1,55,253,2011,"46","113"
"62","46113",1,25,504,2011,"46","113"
"63","46113",1,85,19,2011,"46","113"
"64","46113",1,80,44,2011,"46","113"
"65","46113",1,65,137,2011,"46","113"
"66","46113",1,60,189,2011,"46","113"
"67","46113",1,20,611,2011,"46","113"
"68","46113",1,75,68,2011,"46","113"
"69","51515",1,25,183,2011,"51","515"
"70","02270",2,20,336,2011,"02","270"
"71","02270",2,55,132,2011,"02","270"
"72","46113",1,5,742,2011,"46","113"
"73","51515",2,60,209,2011,"51","515"
"74","46113",1,0,834,2011,"46","113"
"75","02270",1,85,11,2011,"02","270"
"76","02270",2,45,194,2011,"02","270"
"77","02270",1,5,443,2011,"02","270"
"78","02270",1,10,442,2011,"02","270"
"79","02270",2,30,194,2011,"02","270"
"80","02270",1,55,161,2011,"02","270"
"81","46113",2,45,337,2011,"46","113"
"82","51515",1,65,137,2011,"51","515"
"83","46113",1,40,392,2011,"46","113"
"84","46113",1,30,359,2011,"46","113"
"85","46113",1,70,91,2011,"46","113"
"86","02270",1,30,203,2011,"02","270"
"87","46113",1,35,357,2011,"46","113"
"88","51515",1,15,159,2011,"51","515"
"89","02270",2,65,76,2011,"02","270"
"90","46113",2,75,76,2011,"46","113"
"91","02270",1,70,50,2011,"02","270"
"92","51515",1,35,140,2011,"51","515"
"93","02270",1,25,267,2011,"02","270"
"94","02270",1,65,79,2011,"02","270"
"95","46113",1,15,754,2011,"46","113"
"96","46113",2,0,747,2011,"46","113"
"97","02270",2,5,415,2011,"02","270"
"98","51515",1,75,116,2011,"51","515"
"99","46113",2,60,230,2011,"46","113"
"100","46113",2,25,531,2011,"46","113"
"101","46113",2,40,399,2011,"46","113"
"102","02270",1,0,519,2011,"02","270"
"103","02270",1,35,209,2011,"02","270"
"104","51515",1,20,214,2011,"51","515"
"105","02270",1,15,382,2011,"02","270"
"106","02270",1,45,222,2011,"02","270"
"107","02270",1,80,14,2011,"02","270"
"108","02270",2,80,27,2011,"02","270"
